tau_s,tau_h,mi_mc_mean,mi_mc_ci95_low,mi_mc_ci95_high,mi_mc_trial_std,mi_analytic,abs_err_mean_vs_analytic
1.0,0.0002777777777777778,4.573438790523686,4.569698861234204,4.577178719813168,0.00853340420645332,4.573663149630717,0.00022435910703144657
1007.7046979865772,0.27991797166293814,0.34153709094640017,0.3390946400207094,0.34397954187209095,0.005572945205665147,0.3414812571047245,5.583384167567873e-05
2014.4093959731545,0.5595581655480985,0.19372895466281403,0.19186394916324898,0.1955939601623791,0.004255386811671846,0.19365760377767016,7.135088514387267e-05
3021.1140939597317,0.8391983594332588,0.13683991671706103,0.13527757877860463,0.13840225465551742,0.0035647896267503535,0.13676755382697287,7.236289008816232e-05
4027.818791946309,1.118838553318419,0.10662634142438834,0.10525459492592379,0.1079980879228529,0.003129916753534749,0.10655571767868648,7.062374570186714e-05
5034.523489932886,1.3984787472035796,0.08788189274338422,0.08664302538560222,0.08912076010116622,0.002826726150108279,0.08781356546125456,6.832728212965988e-05
6041.228187919463,1.6781189410887398,0.07511966592579808,0.07397962029715681,0.07625971155443935,0.0026012444113197525,0.0750536291736752,6.603675212288329e-05
7047.932885906041,1.9577591349739,0.06587301447045682,0.06480981178955914,0.0669362171513545,0.0024259117023951587,0.06580910632332991,6.390814712690929e-05
8054.637583892618,2.2373993288590603,0.058868035508753726,0.05786656481079041,0.05986950620671704,0.002285057712367488,0.05880606019943176,6.197530932196271e-05
9061.342281879195,2.517039522744221,0.053380164658862105,0.052429534542485876,0.054330794775238334,0.002169054654771203,0.053319931896741675,6.0232762120429606e-05
10068.046979865772,2.7966797166293813,0.04896680531166851,0.04805887326511052,0.049874737358226506,0.0020716303827083464,0.04890814226041377,5.866305125474397e-05
11074.75167785235,3.0763199105145413,0.04534229794622094,0.04447079636111208,0.0462137995313298,0.0019885069253084016,0.045285051581866076,5.724636435486263e-05
12081.456375838927,3.355960104399702,0.04231401160366634,0.04147399980351228,0.043154023403820393,0.001916656619435136,0.04225804769713937,5.59639065269707e-05
13088.161073825504,3.6356002982848623,0.03974731840941189,0.038934823823509886,0.040559812995313894,0.0018538705361504377,0.03969251946367942,5.4798945732473237e-05
14094.865771812081,3.9152404921700223,0.037545286751545164,0.036757061337405715,0.03833351216568461,0.0017984955179680998,0.03749154977763625,5.3736973908910524e-05
15101.570469798658,4.194880686055183,0.035636348524951386,0.0348696983369335,0.03640299871296927,0.001749267280990807,0.035583582978418404,5.276554653298182e-05
16108.275167785236,4.474520879940343,0.033966511324168516,0.03321917413700102,0.034713848511336014,0.001705200767979593,0.03391463729909562,5.187402507289551e-05
17114.979865771813,4.754161073825504,0.03249427438373339,0.03176432983489808,0.033224218932568696,0.0016655159500011784,0.03244322107276198,5.105331097141064e-05
