,tau_0,tau_2542,tau_5084,tau_7627,tau_10169,tau_12711,tau_15254,tau_17796,tau_20338,tau_22881,tau_25423,tau_27966,tau_30508,tau_33050,tau_35593,tau_38135,tau_40677,tau_43220,tau_45762,tau_48305,tau_50847,tau_53389,tau_55932,tau_58474,tau_61016,tau_63559,tau_66101,tau_68644,tau_71186,tau_73728,tau_76271,tau_78813,tau_81355,tau_83898,tau_86440,tau_88983,tau_91525,tau_94067,tau_96610,tau_99152,tau_101694,tau_104237,tau_106779,tau_109322,tau_111864,tau_114406,tau_116949,tau_119491,tau_122033,tau_124576,tau_127118,tau_129661,tau_132203,tau_134745,tau_137288,tau_139830,tau_142372,tau_144915,tau_147457,tau_150000
bits_1,0.022275133027839338,0.0062205724356725455,0.003064148819716516,0.0024561043852205575,0.0018862120862039975,0.0013627441633853044,0.001373926722035095,0.0011388075478118262,0.001077199716655387,0.0008351725243970143,0.0008170958285371382,0.0006218209639419523,0.000764246834822795,0.0007057138018710824,0.0004707527699341794,0.00045705085762326,0.0005277621094192935,0.0006487243298832486,0.0003032390409775981,0.0002863451094202643,0.0003459636736701445,0.0004491619453841727,0.00035732371361293854,0.0003420705117487902,0.00040041598520493586,0.0004356856724248855,0.00026195306194464873,0.00038097560205532603,0.0004749886146824837,0.00038106536605732756,0.00026060819753507587,0.0002607892266263478,0.00034642811524754086,0.0002778173283946425,0.0005794372229497881,0.0004371508680569451,0.00030233766564152775,0.0002201805389079675,0.00021037389784333898,0.0001700363355664082,0.0002332124249606086,0.00013701412219341213,0.00013891182183574103,0.00011480816255721461,0.00014168891550344487,0.00019175609916853754,0.0002905166623785737,0.00020744921616227345,0.0002332961435796057,0.00014048433078462944,0.00017945869711646887,0.00017059739304067068,0.00025238339917851556,0.00016963519297141287,0.00027339814409685695,0.0001901332547933643,0.0001147475235966364,0.0003486108248267937,6.637731065557625e-05,0.0003752663694696457
bits_2,0.5108195420155341,0.10953594506881463,0.06240981727965021,0.045182774376216255,0.034375584317238014,0.026408905780239002,0.02307611178983065,0.019935746184255983,0.01661270727777728,0.015806446654151728,0.014070112252168315,0.011593830989619185,0.012670851830869032,0.011191599929182689,0.010305710511818585,0.009050617102488081,0.00937269222046262,0.00889510002520873,0.008181572743889021,0.007341304718325135,0.0076409997918035905,0.006507559144689543,0.007380857337004214,0.006040823086935398,0.005840572081663371,0.005669924359681477,0.004696776389003898,0.005429480966376746,0.005172195526623622,0.005445313255215005,0.004542607305430123,0.004553118072042018,0.004858081804063502,0.0048562385923225536,0.004682474711575968,0.003896370530197678,0.003980052159301806,0.003347980106766281,0.003510544755893702,0.0035818409618681817,0.003183206489651709,0.00342479863262478,0.003479186429656604,0.003396311250531872,0.0031247629661609487,0.0028483010449007373,0.0034686632359019684,0.002820147999764232,0.0032024993166972723,0.003014949788065942,0.0030537648095008106,0.002733759288909509,0.003433081773228778,0.0027610809880131795,0.0026892480824529355,0.00286841863486255,0.0025242984458942524,0.00264247415761554,0.00202650757649593,0.0027957384728090106
bits_3,1.341023987985471,0.19501746079688898,0.10792082651754135,0.07357146923719285,0.05821603733920615,0.045639050238468835,0.037981958355225456,0.03493001306733094,0.029329493193331575,0.026014677233761996,0.024252061383688146,0.02138770773448671,0.020461111737663608,0.018373267114222845,0.016768822723366435,0.0153670065195138,0.013172416529825889,0.013466636863336972,0.012599489938699407,0.012763195505515518,0.012612391751355362,0.011389571016205597,0.011210343472125146,0.011145950508010889,0.010665287590661304,0.00917821298236418,0.008944476425857478,0.009143417018740701,0.00863586168664908,0.007695238397875252,0.00820419566015965,0.0076430083646004746,0.008250508486521483,0.006925625331701821,0.0070753395540423866,0.006218251279096075,0.0063817269585795065,0.006867322962169251,0.005819936035223082,0.006340345370932,0.005916087215195191,0.005587637228706982,0.005616091006163693,0.006679031445285555,0.005541223321956861,0.005623356438273812,0.004445428053035995,0.004740743293936913,0.004547728377059343,0.004571133155474433,0.004436381995146062,0.004518747071172286,0.005220848861380453,0.004498167804457196,0.004349669990754887,0.004261421173119747,0.004722331688809423,0.004041479733691573,0.004715015757962721,0.003933289216176137
bits_4,2.242030629319075,0.22786868170475577,0.12258076137698071,0.08538508107975377,0.06698087405143059,0.05344095031960731,0.04406771470954672,0.03697970502685356,0.03379739310509063,0.03099744712001228,0.026460125314137967,0.024802431443415547,0.02297337943702747,0.02076368627293488,0.019249396947907234,0.01771520575405057,0.01665647603186489,0.015714611595449277,0.015471924712579207,0.014401555619372786,0.012900061308558489,0.013715335948536337,0.012790267695906691,0.011112716395566574,0.01214551327385935,0.011780801071239211,0.011512999408627971,0.009733525097469437,0.009273621887352368,0.008898258358196562,0.008739560082320802,0.008636886413048463,0.008138537251973336,0.008002210046340382,0.007826082782986115,0.008424477538898245,0.007627337914389909,0.008082603307247159,0.007451358251983985,0.007383145340710315,0.006553628675611672,0.006485827128115314,0.006648918554686872,0.006247050705577876,0.005876479369999021,0.005715056737416638,0.006222751351672109,0.005831082318066448,0.005199376180374728,0.0056528670234694735,0.005238716850991169,0.005445714728302646,0.004725071200004166,0.0043449111136638525,0.004785061243252028,0.005421776919817113,0.004788076482027755,0.004677578166879804,0.004168452774276142,0.004487449854454197
bits_6,4.19282049199932,0.24208161688057336,0.1274954454131219,0.087557698579173,0.0693130525640191,0.055655896518134386,0.047554924958025255,0.040147807204950064,0.03559970914467523,0.03040407687549588,0.0281539068664305,0.025399133680212137,0.022015617175958915,0.022544599226459384,0.01878236407990033,0.01975439710372409,0.017642641941518624,0.015855479830142825,0.01598456496263489,0.015315851316392615,0.013676841754160979,0.014358983901760044,0.012690106944341051,0.012139257359449937,0.01205650020935381,0.01060326786274033,0.011268925646704928,0.010972157027695504,0.010051488691205968,0.009079703638500535,0.008761335293513448,0.009838495311334005,0.008671082342930191,0.009494876359382249,0.008612999665757461,0.007919538787996934,0.0070238108007629725,0.007525567597818512,0.007369817076438752,0.007248991445910302,0.007039492396102527,0.006542120447336171,0.006499201231333014,0.0065549054110767445,0.006213317165932414,0.006258450368294119,0.0060554433754382,0.006114742708294365,0.005950686239838735,0.005501768789054728,0.004719283162313943,0.005603351645104147,0.005028364965424966,0.00517029408240358,0.005524155958071823,0.004830243372549338,0.0051112705037120645,0.00544894500170129,0.005319427854118577,0.004534172881774332
bits_8,5.900990435441986,0.24163854552590408,0.13188210340771428,0.08955992382894054,0.06769035025526383,0.058145131539802754,0.04669401341773523,0.03990565009761867,0.033334952455491486,0.03178281249834371,0.027238348920403315,0.026016630615472942,0.022210481726533515,0.021839989331792032,0.020564924350023474,0.019879718115969044,0.01814638491084075,0.016357307856369276,0.015709004713729484,0.015771045885540028,0.013516680110457823,0.013872543853010063,0.012189589569156282,0.012574048482780075,0.012040601107951823,0.011083527770640391,0.010283260393209979,0.010517117466964276,0.009794915774007323,0.009989387008618253,0.0098008058620299,0.009758566907869397,0.009047257301888864,0.009383898489933972,0.008409887679822611,0.008270297694070321,0.008670670827363752,0.006942837325074623,0.008366275267309587,0.008271404244395986,0.007660775909459577,0.0074787134781011625,0.007015912213098238,0.00604301231672474,0.005794369718929426,0.006915072182062276,0.006030987717445484,0.005547291996109821,0.0061071982752510775,0.005577474960459192,0.005694264804489497,0.005194917384530205,0.0052505937433610485,0.0050395338304754424,0.004931033946609586,0.005660190793994417,0.005373526308479658,0.004783317626501066,0.004787878268039713,0.004857706873931795
bits_12,6.644676953764896,0.2388265647056041,0.12637664753073397,0.09213854152695493,0.06831495300267572,0.05359647262069027,0.04418936536678921,0.04036609457621367,0.0357625333316583,0.03110206527302741,0.027315229848425354,0.02569408490820373,0.024504931377520047,0.02201200086187678,0.02054760354226738,0.01791895840223246,0.018566970698812874,0.018129097258512576,0.01587582259447648,0.01424005713172409,0.013651956831887385,0.012871446363713243,0.012830750372053973,0.012614776440446035,0.011249266451487574,0.011590493855172515,0.011958859888946915,0.011074547878151864,0.009920331998164686,0.009633576583089122,0.00813878415913909,0.0102020699204896,0.009015284219293701,0.00828604779203874,0.008008582738993094,0.008475773390629857,0.0071195654632456055,0.007775088310292675,0.007498720749455115,0.008256525756464635,0.007047790493652268,0.006884340651126324,0.007023490211600385,0.00618236309703523,0.006401865947581955,0.006410346691908331,0.005236791474734376,0.007024859529773035,0.006091572518621097,0.005816602802635264,0.005726806315808725,0.0053185828509952375,0.005826551729382014,0.0051816522744683,0.005497327108723969,0.005158827250422066,0.005153381181442044,0.0056830163263902654,0.0054012380946340515,0.004521414372941498
bits_16,6.6486767839950165,0.24176606202798268,0.13032004345049636,0.09148314242546592,0.0695128503011613,0.0553645780409038,0.04591298657468362,0.04047452431979481,0.03417004084392615,0.03123671963990655,0.025787724338326844,0.02393390831131665,0.02301027467066123,0.020080740786923953,0.019810887027905046,0.0196429318472134,0.017938571870114293,0.01600703009391793,0.015740059629606173,0.014807654819707985,0.016116330783483294,0.01360331093882143,0.013176333798438623,0.012954687507613505,0.012570032820624518,0.011899431108604214,0.010675615921532938,0.009971479318178234,0.010019233799619245,0.010672104616063785,0.00949071207626965,0.009633185557512539,0.009079472950822936,0.009122703085354086,0.008032344563235901,0.008132280173661204,0.007771885018635643,0.007208822832938713,0.007042866287454179,0.007406463775437635,0.006917445428143677,0.006986074227845978,0.00710796914280883,0.006995483407160524,0.006123580587331544,0.006445786009241736,0.00579767607376898,0.006347610054417527,0.006613061080706963,0.006425227274525087,0.006245118191132798,0.0052440876316263265,0.005842862824006139,0.005113645376409087,0.004879527845921454,0.00511066078691953,0.004925997638522426,0.004578637711218482,0.005379483533022705,0.0043381470982713525
bits_32,6.652878011910199,0.24253330924036787,0.13055020020562907,0.08946815104773906,0.06835231924214119,0.057251988956430924,0.046012517097605704,0.04028015424525215,0.035587155659046736,0.03161959075345203,0.028856671851838357,0.026548932383472695,0.024288020083719337,0.02030835321044148,0.020187223209631455,0.019068576772579195,0.018062050024130378,0.015953425277271623,0.016355773426240693,0.014632766894201487,0.013084061118007816,0.01329241642970333,0.012712296085215943,0.012983270890675497,0.011631834741911646,0.010282561392648952,0.011467414775928376,0.011349850403712832,0.01009310079387305,0.010168269284189079,0.008337317700775082,0.008847604127677721,0.008676214583801082,0.00856735904111828,0.008355713757455207,0.007922787851565836,0.007823892382730551,0.007343992883263577,0.00751475121541186,0.007063525941123137,0.0076634085320347115,0.007596057765667295,0.007263262044668898,0.006948101243912712,0.006412570128354561,0.006251871179371262,0.005854324967633214,0.0064154530747826165,0.0059717683604038315,0.006459095062882949,0.005729947631260663,0.005858890525846365,0.005192909888187739,0.005352097879148304,0.005302810213317549,0.004404502401254161,0.005539710780305547,0.005869852835562126,0.004954270367620846,0.00528530815046907
