delay,mi_pred_pooled,mi_steer_pooled,gap_pooled,fail_rate,mi_pred_strat,mi_pred_strat_shuffle,mi_event_strat,mi_event_strat_shuffle
0,2.315328714257691e-07,0.03255142034948587,-0.032551188816614444,0.0,0.0017423038255850354,0.001699082987296041,0.0,0.0
1,0.006097677238532866,0.03604177047205526,-0.02994409323352239,0.0,0.00830051633406066,0.0018003171582119863,0.0,0.0
2,1.1612603671259545,0.05426310288255234,1.106997264243402,0.0,1.3880058022955672,0.0018722847356038646,0.0,0.0
3,0.448306137649351,0.021981131767793767,0.42632500588155725,0.0,0.4914149877107009,0.001747298945230858,0.0,0.0
4,1.0807638212242394,0.009377500395396863,1.0713863208288426,0.0,1.2805480438255823,0.0019381507747353046,0.0,0.0
5,0.29819063072638224,0.0035662599132377285,0.2946243708131445,0.0,0.3306608455089714,0.0018809261395295197,0.0,0.0
6,0.02851174761288061,0.000910323559237215,0.027601424053643395,0.0,0.03535468102443487,0.0018416183329364685,0.0,0.0
7,0.5198432181438459,3.41030952495912e-05,0.5198091150485964,0.0,0.5740119427302306,0.001785982935865209,0.0,0.0
8,1.5555811178510022,0.00026871772405986596,1.5553124001269423,0.0,2.0248477436548042,0.0017646786846729117,0.0,0.0
9,1.5800917314151448,0.0013105746725258697,1.5787811567426189,0.0,2.23261774973685,0.0017981743784564069,0.0,0.0
10,0.8361182251222831,0.003043786257706858,0.8330744388645762,0.0,0.9906442183749833,0.0018403081163047264,0.0,0.0
11,0.4259137515096216,0.00543843266675695,0.4204753188428646,0.0,0.5052852012385506,0.0018532206758430552,0.0,0.0
12,0.21749010827777057,0.008161172327591271,0.2093289359501793,0.0,0.26445364497943596,0.0019551037884862933,0.0,0.0
13,0.09363758364606002,0.011453118657190578,0.08218446498886944,0.0,0.1341514815487516,0.0017666826428663286,0.0,0.0
14,0.02778959963587073,0.015914057192526393,0.011875542443344336,0.0,0.07321272588452217,0.001782185132551209,0.0,0.0
15,0.0032358462527194167,0.02021487657646617,-0.016979030323746754,0.0,0.030277221553432248,0.002013521115336932,0.0,0.0
16,0.0019152616307262617,0.025310739669548808,-0.023395478038822547,0.0,0.04476529632976312,0.0017759518555800738,0.0,0.0
17,0.01867063041122795,0.03174522241802861,-0.013074592006800657,0.0,0.058063508313781396,0.0017088217415098719,0.0,0.0
18,0.05045792742117172,0.03657542614579983,0.01388250127537189,0.0,0.0925445625082742,0.0016388806527595566,0.0,0.0
19,0.08672974883616635,0.04569475574854575,0.041034993087620604,0.0,0.13530764613902319,0.001653418522285622,0.0,0.0
20,0.13575160671532907,0.05171578890845771,0.08403581780687136,0.0,0.17708863822064708,0.0016840170048297153,0.0,0.0
21,0.19197720418099906,0.06044148256624169,0.13153572161475738,0.0,0.2285982686116459,0.001794394375452112,0.0,0.0
22,0.2500000779315968,0.07177962627448572,0.17822045165711106,0.0,0.2722915366732803,0.0018088324544398482,0.0,0.0
23,0.3135543844419671,0.08359082302975289,0.2299635614122142,0.0,0.37033573274116105,0.0019246244937311569,0.0,0.0
24,0.38074610130871306,0.09554714084423331,0.28519896046447973,0.0,0.4330275374373209,0.0018028856724684205,0.0,0.0
25,0.45443819389246354,0.10834598409179577,0.3460922098006678,0.0,0.5257923671525634,0.002058717306204035,0.0,0.0
26,0.5297033329728329,0.1255173761973799,0.404185956775453,0.0,0.5827587579602007,0.0017481698051959851,0.0,0.0
27,0.6083997425674493,0.14664756409393223,0.4617521784735171,0.0,0.6853504714378394,0.0018974567067494654,0.0,0.0
28,0.6885923200893536,0.17361188537449349,0.5149804347148601,0.0,0.760012408740312,0.0017151151525647557,0.0,0.0
29,0.7805356680193482,0.19888154925237178,0.5816541187669764,0.0,0.9160550123900887,0.0017210768663426718,0.0,0.0
30,0.8941070664385861,0.22311949721451602,0.6709875692240701,0.0,0.9860609122925243,0.0020203543343985963,0.0,0.0
31,1.0180528191014857,0.26745784707357795,0.7505949720279077,0.0,1.128799760196895,0.001555037474336638,0.0,0.0
32,1.1596326718522165,0.3305556467354473,0.8290770251167692,0.0,1.2790514266847812,0.001710711599199386,0.0,0.0
33,1.3364654540223553,0.41284915729250715,0.9236162967298481,0.01,1.5119879206204192,0.00183763883108388,0.0,0.0
34,1.4560803406329885,0.4990587155442106,0.957021625088778,0.6475,1.5991540924710543,0.0027993248971672473,0.00378099451290595,0.0034725134904450487
35,0.9516349198090964,0.31727118775470675,0.6343637320543897,1.0,1.0082377082442264,0.0027683222500091056,0.003143410394826805,0.0028701393733517166
36,0.8505153597714518,0.22828057184127706,0.6222347879301747,1.0,0.9402080944375297,0.0027782266721295868,0.0021676910429281517,0.0022757885387348674
37,0.864147079481643,0.2458709931601909,0.6182760863214521,1.0,0.9173141696936216,0.0033926152219175137,0.001906037251842614,0.0026653241490925596
38,0.869880812390993,0.2593777878155517,0.6105030245754413,1.0,0.9285427374594666,0.00361039602549874,0.001960346544985869,0.002152213646108177
39,0.9047399662913294,0.301684532233109,0.6030554340582204,1.0,0.9513984539668424,0.0032461271372989796,0.002902187200100694,0.0036585039809247178
40,0.894243196289174,0.270742835925104,0.6235003603640701,1.0,0.9250295762867113,0.0026396172932856357,0.0020553528022419754,0.003059697195435655
41,0.9168390439538207,0.30671841977772524,0.6101206241760955,1.0,0.9557347567675994,0.002654626927654762,0.002056423898174993,0.0034278010379565917
42,0.9177599775140537,0.29833094806793686,0.6194290294461169,1.0,0.9458426685406262,0.002824253389132949,0.004882423897360651,0.0029445280708009515
43,0.9181214127968269,0.3052903014930769,0.61283111130375,1.0,0.9365524298922184,0.0032096577289315795,0.0032035154288021805,0.0023056704402557816
44,0.9422945641445143,0.3114301756056908,0.6308643885388234,1.0,0.9650606300136857,0.0019079563709889526,0.003580682692204066,0.003120151780896804
45,0.9356101740365698,0.3298154806886382,0.6057946933479316,1.0,0.9277472808894685,0.0031947857446574927,0.0032487923099417683,0.003384711479842531
46,0.9456358682013243,0.32746130041401605,0.6181745677873083,1.0,0.945217687585182,0.0034223364697701384,0.0023364940859389553,0.0029600677288182374
47,0.9472432980845675,0.31011823681131306,0.6371250612732544,1.0,0.93185434880673,0.003034389834288609,0.002085233755519323,0.0032395489473656435
48,0.9758958396494123,0.34577216388469184,0.6301236757647204,1.0,0.9685633844290302,0.0026913064773676945,0.001478252373968463,0.00372691229817916
49,0.9738212833166869,0.33272620507871925,0.6410950782379676,1.0,0.9606411154330504,0.00393953819463134,0.002542253313018535,0.0035900051130497877
50,0.993464515274728,0.3351181541827124,0.6583463610920156,1.0,1.0112918803810278,0.0037431503005659478,0.004885047953966746,0.003329780019842035
51,0.9969838904348607,0.3085071906617344,0.6884766997731263,1.0,1.0171193326362022,0.0037386481846116873,0.004237341799258004,0.0021070967169765195
52,1.0356679321391715,0.3127450474239939,0.7229228847151776,1.0,1.1129293972690624,0.004114144384594574,0.003932718422350111,0.0033825632994009024
53,1.012670910781096,0.34079629480411894,0.6718746159769771,1.0,1.151296992415593,0.0027393635049104102,0.0037817594810466803,0.0028613241241675015
54,1.0476374800550186,0.3685459786020173,0.6790915014530012,1.0,1.2721368094054732,0.0035632765724226724,0.0036591225497416835,0.0028948531783995705
55,1.0398861607432146,0.3570401443123218,0.6828460164308928,1.0,1.2328580445669184,0.0023941945769728307,0.002710516445770334,0.0033736702362809775
56,1.0574494397531162,0.35842824932343725,0.699021190429679,1.0,1.2919800596413067,0.0026392450417459246,0.0026024313771511177,0.0031379530294774493
57,1.081389581308431,0.3654550863596379,0.7159344949487931,1.0,1.326761335845875,0.003212663516305711,0.003950552296167248,0.002187921972595416
58,1.0708279765657074,0.4000064750417616,0.6708215015239458,1.0,1.3863003494694612,0.003742388681968689,0.0026261493317695284,0.003457263485945707
59,1.072519205363145,0.3675228883797619,0.704996316983383,1.0,1.393075222803252,0.003225564945551396,0.008403462395065425,0.0035321947343098874
60,1.1126633449226506,0.2982099836771406,0.81445336124551,1.0,1.4522597100964416,0.0029156957317731666,0.0020945489707047166,0.003442909415013209
61,1.0972026627898397,0.34020393726460973,0.75699872552523,1.0,1.4978862807748716,0.0030958917845186167,0.00505797942974522,0.0030266388270593844
62,1.0936818121229468,0.39171801580425336,0.7019637963186934,1.0,1.594886827739122,0.0035297208886808508,0.004661060756325362,0.0026940583927589417
63,1.139241088219461,0.3528205886733651,0.7864204995460959,1.0,1.7116193255930987,0.004095427897276588,0.0012601013356888366,0.0028786009981231196
64,1.1434846561320737,0.41376834978397403,0.7297163063480997,1.0,1.6718441038436052,0.002265540419304723,0.009641082578562818,0.00245040985980358
65,1.1494211317418792,0.42429693767929383,0.7251241940625854,1.0,1.7365796852226978,0.002305124661166607,0.0032228989933245386,0.0030809157877796384
66,1.2348628547268374,0.2767828982077387,0.9580799565190987,1.0,1.7677056750337587,0.0026075164184494646,0.0022096405723470254,0.0029719088723088303
67,1.1720075215727392,0.4522373042043477,0.7197702173683915,1.0,1.8363232696237837,0.0026779114175967864,0.00181098087061297,0.0027150742211408826
68,1.156834736728879,0.38050769255433536,0.7763270441745436,1.0,1.7079251165400302,0.002165407206302626,0.0032004794722955447,0.003597624172271568
69,1.2062606263452456,0.3316391162141823,0.8746215101310633,1.0,1.7696620818774678,0.0023483664530111192,0.004632498498845412,0.0027427780762190384
70,1.1665448306036517,0.3181451447151822,0.8483996858884695,1.0,1.7285413951363424,0.0029750408238127767,0.003838188628275454,0.0015875921785021188
71,1.2221413431620145,0.26590097657400913,0.9562403665880054,1.0,1.8115790556483107,0.0035914576952958337,0.0030175066357628444,0.004228313860255195
72,1.209601416588901,0.36962983369566815,0.8399715828932329,1.0,1.850717407455672,0.0017811230663531037,0.005640597885190908,0.00304230629653839
73,1.247095953178262,0.2798860908890427,0.9672098622892192,1.0,1.8989386745199262,0.0020186542991599424,0.001048045754933282,0.0025377269520668417
74,1.244737123222603,0.3879418133261621,0.8567953098964409,1.0,1.7242208482164398,0.0023391449647194107,0.0058323641370587286,0.0022929698668046746
75,1.2369642543179422,0.3382557975474072,0.898708456770535,1.0,1.739311594369852,0.0025080281978057555,0.0011005364068287617,0.0020044166161798777
76,1.2261723643395719,0.41596571898387247,0.8102066453556994,1.0,1.7326214150699588,0.0031962741265057653,0.002433685520626377,0.0027466352311998838
77,1.3024279651347486,0.2511492573491081,1.0512787077856405,1.0,1.8277559839314192,0.0029666775863843036,0.0074409698427109,0.0034160465128032684
78,1.2819367096128766,0.3252953337221804,0.9566413758906962,1.0,1.758084003128374,0.0030247759214649555,0.004663355678573098,0.0023281851221093083
79,1.2372402174125487,0.376927510028667,0.8603127073838818,1.0,1.7286940757113731,0.0025997743509636423,0.001753763820202966,0.0034726976160331146
