,tau_0,tau_2542,tau_5084,tau_7627,tau_10169,tau_12711,tau_15254,tau_17796,tau_20338,tau_22881,tau_25423,tau_27966,tau_30508,tau_33050,tau_35593,tau_38135,tau_40677,tau_43220,tau_45762,tau_48305,tau_50847,tau_53389,tau_55932,tau_58474,tau_61016,tau_63559,tau_66101,tau_68644,tau_71186,tau_73728,tau_76271,tau_78813,tau_81355,tau_83898,tau_86440,tau_88983,tau_91525,tau_94067,tau_96610,tau_99152,tau_101694,tau_104237,tau_106779,tau_109322,tau_111864,tau_114406,tau_116949,tau_119491,tau_122033,tau_124576,tau_127118,tau_129661,tau_132203,tau_134745,tau_137288,tau_139830,tau_142372,tau_144915,tau_147457,tau_150000
drop_0.41,3.4661163188330164,0.14307308880728006,0.07511915034345854,0.05403797260028629,0.04050950068437887,0.0326531999001099,0.02701750541351468,0.024193780442687402,0.02117906606822559,0.018391751203320983,0.017019129303292045,0.014970358277690794,0.013235240160648375,0.013134643802786537,0.012014278579231139,0.012582848079668738,0.010168016325372934,0.00928595156809268,0.009434283478710425,0.008597229197978083,0.008616722522045313,0.008447925352714148,0.00764866031269622,0.007197064995345082,0.00679891450393304,0.00738026459489355,0.006070258905634028,0.005970127421053325,0.00531557521122311,0.0061173260302610525,0.006252718750269952,0.005885820342120955,0.005868407848722637,0.004983170707805583,0.00449680085174692,0.0050326316728278205,0.0043449292617984085,0.004533011343832219,0.004514369506712852,0.004146333201111236,0.00456756212455792,0.004923441346822379,0.004282050170063815,0.003542527253344302,0.003692915664630004,0.0036042194050434524,0.003293398123079367,0.0035088715501552627,0.0035513202646256367,0.003274052236560279,0.0036053890730224497,0.0035423945359510543,0.003463813266167238,0.00371982714502028,0.0032376254219156227,0.002706051353473342,0.0034219418520336406,0.003067181988156603,0.0027954244524676466,0.003198286131475987
drop_0.45,3.218454049702038,0.13404846571941706,0.07100910908679611,0.05013651563952889,0.03812619659920653,0.030328496565761604,0.025836605023432213,0.021856194111081226,0.01832328074660897,0.01637977296783675,0.01527109133709243,0.013844053514890375,0.012514570872018632,0.012840941646166148,0.010957388794860667,0.010133834848187428,0.01013200398551409,0.008770686568744633,0.007950225549812524,0.007703110384756837,0.0076232380436051655,0.007101147785872721,0.006830174831597269,0.006963508473323869,0.006715782207961424,0.0064802771773855876,0.006765976754900311,0.004918381532265329,0.005757444752975055,0.005756019189046208,0.005389698763285812,0.005064761751921445,0.0050853824760291755,0.004820680937655553,0.005342329390016567,0.004382372247896975,0.0042766476613892495,0.0040923988617738785,0.004212553075650593,0.00394391064426088,0.0037733165713341025,0.003430496581884454,0.003271268075993407,0.003307860116816831,0.0034786897657540657,0.0034975817970383516,0.0035165813681191163,0.00312442842909699,0.0035060937693917335,0.0030374392084665507,0.00346271986228486,0.0030674037602900655,0.0026986132931911175,0.0026337939315260765,0.0027330267470013028,0.002859754838399692,0.002989768141193823,0.002418597488913183,0.0031633193256539903,0.0035845698422847135
drop_0.50,2.9995607593530806,0.12157613180570599,0.0665019962580622,0.04516011673230403,0.0353474630670477,0.028688916136783794,0.024141787211106814,0.019723899107906437,0.01755259805001952,0.015523921875319965,0.014279962428750112,0.013557997072448067,0.012357633029198673,0.010323862387256865,0.010074843432489988,0.008968025745300747,0.008302990117973207,0.008943607765787981,0.006700607560562904,0.007761672449274358,0.0072279870766934805,0.006964932377095209,0.006626192590376778,0.00698128878602379,0.005855307605376701,0.005707762265039587,0.006590397677636207,0.005416008533054877,0.005016762226280139,0.00513235390458387,0.0053398374685265804,0.004905867994169575,0.004833008815300836,0.004713144896300258,0.004352655013159203,0.004406988943596009,0.003954594798088474,0.0039256303190623315,0.003028199742080861,0.0035960899670344484,0.003773160544655944,0.003191814481947121,0.0033257393713583133,0.0032645613305906625,0.003074963100970625,0.0035855090123511706,0.002933351307826076,0.002403375329353386,0.002833524024386822,0.003125626926247793,0.0025544128714903554,0.0026025345566949173,0.0033055622975531945,0.0026686870721696217,0.0027914464655365277,0.0027917478258960623,0.0022638501705690346,0.002545845591389301,0.0026919317049368873,0.0024184427053282735
drop_0.54,2.728658004863595,0.11111523711751856,0.06092418567356467,0.04259684642760429,0.03278649423139349,0.024736594938028655,0.022036203882948063,0.018920754799555992,0.015045903223660048,0.01387642949091902,0.013139140202478023,0.011700371280197101,0.01149038902339554,0.009416798448129838,0.008983420403296041,0.009054166355424574,0.008470042226455723,0.008175664246501641,0.006557744102242876,0.006660056230628325,0.006244188601296335,0.0068497897822334675,0.005602552784756509,0.006198134271443527,0.0059096975268337504,0.005313553686164615,0.004431045487879988,0.00430754822708623,0.004403513768803763,0.004323194905563589,0.0038001599376875986,0.004420378660201126,0.004388789352086482,0.003534306460827522,0.004172317092374688,0.0035284915253111205,0.0040999978984305515,0.004029742292923279,0.0035066544013979276,0.003498408165359066,0.003277737578185619,0.0033842157566352934,0.003433775835713858,0.003256805958891152,0.0027124956435185623,0.0028847091689899003,0.003405360325423675,0.003120783452680019,0.003301307192515418,0.0023269760155052123,0.003372457529482859,0.0028565179898631236,0.0024141978537223488,0.0023951709560170904,0.0023346468017243125,0.0026498563152595523,0.002062376926779375,0.0021816197641298303,0.002129409864469329,0.0031251375984538234
drop_0.58,2.4969709347462063,0.10278463643222517,0.056182108608837524,0.03915666403045805,0.02867036999555267,0.024302730299426176,0.01830325391008987,0.016466789626128592,0.015064269913292811,0.012554436556637735,0.011968054384919448,0.010631065204798236,0.010013857497613646,0.00946648654484801,0.00848888758436256,0.008204382514692589,0.007394404223037164,0.00751877962582175,0.006985678255485345,0.006106910992630432,0.005786630331018001,0.005758042763015949,0.0057060225815798475,0.0041371349110649325,0.005451563363696256,0.004120132210488944,0.0048396582419328454,0.004215799658295485,0.004079143717166207,0.004794676547989368,0.0037145874451990383,0.0038052513122812243,0.00480091510421766,0.0029079629447415437,0.003849659665526893,0.0036160802939397343,0.0035374120670285053,0.0031568181120332816,0.0031816378929302434,0.003511680743218215,0.003099432936958724,0.0027219805878866458,0.0028154685838088214,0.002953632903904862,0.0031818862943917858,0.003078537899262717,0.002519643605876677,0.0026760989220949135,0.002800818697649081,0.002633791698898974,0.002869217384399437,0.0025574484664654595,0.0023442557925195118,0.0022197724640182393,0.002188922822733389,0.002328271882955404,0.0016576432204507413,0.002090465774577976,0.002162069053767311,0.0027096257098136833
drop_0.62,2.241748199479457,0.09312894702396557,0.05033056658998314,0.03492623159036013,0.027128742291226977,0.021607585630140536,0.016722263494854662,0.014742129416832967,0.013461464621300764,0.012455789350208711,0.009553613536079067,0.010286706855206464,0.01044132363124177,0.008456984586852803,0.007874372783846197,0.006164816122472712,0.00648687664266547,0.006817307066402827,0.0062505450817862155,0.0055478187399801825,0.004832049218782461,0.00559215571249524,0.005260571053918447,0.004692250636195821,0.004927039733679016,0.004403070540324952,0.004144507379124149,0.004132412011806477,0.003952867738017495,0.003878857773150845,0.003192258226859618,0.00330741281296359,0.0028105057358747696,0.0032673221387038744,0.0033543339258091482,0.0032948590510104825,0.0028860720360199257,0.002790690602363456,0.0027182840584135093,0.003403276672400627,0.0026553068013887085,0.002864741824937318,0.0031415485363601886,0.0025733331294887757,0.0023880833533513933,0.002646725148436279,0.002596338710632665,0.002005677805415391,0.002647136055240127,0.002380684857645776,0.002018210359647761,0.002024433355311042,0.0018108030963249941,0.0017426409277217472,0.002150857816183454,0.0023328081262742498,0.001833321510365581,0.0018192642605095472,0.0019208967270872806,0.0019114643673573677
drop_0.66,2.008858295581863,0.08376619055306103,0.043029781637194384,0.0291146637697293,0.022822049428396975,0.017499684930282453,0.015749534796351543,0.013802692238477507,0.01185612375449984,0.011110249019395254,0.009513532580049206,0.008567610320471462,0.0077511570719349,0.007122232055335127,0.00721436970908117,0.006312466496140602,0.006179686680270862,0.0062057537865454915,0.004952119659520168,0.004717945332706945,0.005148424817870147,0.005097779527703157,0.005230239347508305,0.003957032140098685,0.004134251993290347,0.0034524295679740037,0.003933750680139219,0.004079895344055256,0.0031952339723293442,0.004351901521088093,0.0032355768142969463,0.0034649917536887587,0.003332593000963548,0.0036261868991032203,0.002320888066036758,0.0030707140926106965,0.002824167588485543,0.0030981581537262238,0.002952538834394046,0.0026759883067862165,0.002106274175907155,0.001954475410489568,0.0019482062545704113,0.00242562733320521,0.0019872310354238573,0.0023355119509094347,0.002199368003591662,0.0018805572579285387,0.0023328607256756255,0.0018913582072488827,0.0021809698975567863,0.001715898711301137,0.0022032505794360156,0.0016462798730153033,0.0018821323713950054,0.0017254522131859619,0.001679060666492854,0.0018095892089553263,0.0016469278045569957,0.0013772871422709763
drop_0.70,1.7578349537253142,0.07087366100309063,0.040170977113469494,0.026071527409407703,0.020155173502422654,0.016992140740651786,0.0126164138755333,0.011666373544172989,0.011523009128361145,0.008968360825445915,0.008920417357812977,0.00855164369934309,0.007111044835154713,0.006322214702586969,0.006637320223101697,0.005197385717296842,0.0056606229628501144,0.003998622511203099,0.0045839016449349835,0.0043412417909972035,0.004263843154940916,0.003974833629430333,0.0036531543653825238,0.003454382094939859,0.0038181151404690222,0.0033047297028125622,0.003031078536440883,0.003092572984402184,0.003243051610254575,0.0032318231762295513,0.002556425197012642,0.0026701254728741623,0.0028478882796422857,0.0020515187586814844,0.003051351143279972,0.0025692036206971395,0.0023854495289415455,0.0023347567220715535,0.00248497255379238,0.0024229447364407367,0.0018989294436901178,0.002138107757726497,0.002442277206544964,0.001766251320081094,0.0018099590889557777,0.002076848630756435,0.001728817993530004,0.0019617148073306214,0.0020325912430107585,0.0017235395438160574,0.001820303642936908,0.0015207306949010994,0.0015286316869018968,0.0017576913831833442,0.0018057623994298696,0.0017177411835369184,0.0013810874708649415,0.0017165885459492843,0.0017975398524961248,0.0014867739475483994
drop_0.74,1.5107697375751379,0.06185537571146863,0.03418731572977255,0.02354733914953671,0.016809535661285843,0.014656426046631069,0.01247764486685608,0.009481527573264955,0.008976294967408299,0.007459742942666288,0.007603212361310632,0.006014965300433125,0.0060408205756313955,0.00527723849480557,0.0053020238203074655,0.00494252044890781,0.003994413440653334,0.005002519657545099,0.004025399158714056,0.003931789703849081,0.003920239478798587,0.004197293681807951,0.0035938766773739666,0.0027201146318182046,0.0027216659759963535,0.0029470757378967367,0.003094719168354905,0.0025087455405331037,0.002583334365535324,0.002353694297874227,0.0025003680552373357,0.002310574292545996,0.002564752132085057,0.002368792949749613,0.0029115020090445276,0.0022185302830175823,0.0023482428313997515,0.0016564464203516326,0.001967691479092323,0.002229122336697989,0.0020803322520138064,0.0011413286997929684,0.0018051629146690969,0.0020336666070248847,0.0016341350132312016,0.0012854040399963328,0.002036719776340818,0.0014943541052922424,0.0014977709952663427,0.0013645729678113676,0.0015672772979807789,0.00200105878537614,0.0014833777058291884,0.0019825139991865434,0.0013283265615296057,0.0013904734676235702,0.0013874846164854612,0.0011553202723308697,0.00108104826625533,0.001552069622480944
drop_0.78,1.2766038659431085,0.051259833805202645,0.029694306109442552,0.01919097791949669,0.01573520870220509,0.011806761508851304,0.009905368928330851,0.008046467126381952,0.007637843801690336,0.006421096723192142,0.005546282790306736,0.00544563171924428,0.004930262379467367,0.004673746194897079,0.004730169506055975,0.004287901180775389,0.003914474015770849,0.0036764865867217242,0.003157656196625102,0.0034494630786161807,0.0034203991035539317,0.0026838752875305424,0.002588285961170339,0.0028698574478630613,0.0025755973838278486,0.0022485673675603163,0.0021625864922200596,0.002761086836406748,0.00217351719232266,0.0019067893495393704,0.0022455694950440103,0.0017749165286707782,0.002427850622269352,0.00143201833075882,0.0017571347514527124,0.00190193449873585,0.0022190136811677595,0.0015069026272413355,0.0014922968045183566,0.002018544034943099,0.001520152367327231,0.0012394362012125826,0.0015086556836003133,0.0012042249541297004,0.0011455061986927202,0.0015386339188346097,0.0015211407917515092,0.0015531797193072121,0.001099638843673107,0.000937357627152108,0.0009101476095758936,0.0014586023500486245,0.0015682661539926878,0.0015759377508467228,0.0010126695072565383,0.0008883301832325503,0.0010899861418771494,0.0009400029107458588,0.0011048274749449183,0.0012575323471148377
