v,CHSH,NS_Dev,CHSH_theory,CHSH_err
0.0,0.0,0.0,0.0,0.0
0.025,0.07071067811865467,0.0,0.07071067811865477,9.71445146547012e-17
0.05,0.14142135623730934,5.551115123125783e-17,0.14142135623730953,1.942890293094024e-16
0.07500000000000001,0.21213203435596428,0.0,0.2121320343559643,2.7755575615628914e-17
0.1,0.282842712474619,0.0,0.28284271247461906,5.551115123125783e-17
0.125,0.35355339059327384,5.551115123125783e-17,0.3535533905932738,5.551115123125783e-17
0.15000000000000002,0.42426406871192845,5.551115123125783e-17,0.4242640687119286,1.6653345369377348e-16
0.17500000000000002,0.49497474683058307,5.551115123125783e-17,0.49497474683058335,2.7755575615628914e-16
0.2,0.5656854249492378,0.0,0.5656854249492381,3.3306690738754696e-16
0.225,0.6363961030678926,0.0,0.6363961030678928,2.220446049250313e-16
0.25,0.7071067811865475,0.0,0.7071067811865476,1.1102230246251565e-16
0.275,0.7778174593052021,0.0,0.7778174593052024,3.3306690738754696e-16
0.30000000000000004,0.8485281374238569,5.551115123125783e-17,0.8485281374238572,3.3306690738754696e-16
0.325,0.9192388155425115,5.551115123125783e-17,0.9192388155425119,3.3306690738754696e-16
0.35000000000000003,0.9899494936611664,1.1102230246251565e-16,0.9899494936611667,3.3306690738754696e-16
0.375,1.060660171779821,5.551115123125783e-17,1.0606601717798214,4.440892098500626e-16
0.4,1.1313708498984756,0.0,1.1313708498984762,6.661338147750939e-16
0.42500000000000004,1.2020815280171304,0.0,1.202081528017131,6.661338147750939e-16
0.45,1.2727922061357853,5.551115123125783e-17,1.2727922061357857,4.440892098500626e-16
0.47500000000000003,1.3435028842544399,0.0,1.3435028842544405,6.661338147750939e-16
0.5,1.4142135623730947,5.551115123125783e-17,1.4142135623730951,4.440892098500626e-16
0.525,1.4849242404917495,0.0,1.48492424049175,4.440892098500626e-16
0.55,1.5556349186104044,0.0,1.5556349186104048,4.440892098500626e-16
0.5750000000000001,1.626345596729059,5.551115123125783e-17,1.6263455967290597,6.661338147750939e-16
0.6000000000000001,1.6970562748477138,0.0,1.6970562748477145,6.661338147750939e-16
0.625,1.7677669529663684,0.0,1.7677669529663689,4.440892098500626e-16
0.65,1.8384776310850235,0.0,1.8384776310850237,2.220446049250313e-16
0.675,1.9091883092036779,1.1102230246251565e-16,1.9091883092036785,6.661338147750939e-16
0.7000000000000001,1.9798989873223327,0.0,1.9798989873223334,6.661338147750939e-16
0.7250000000000001,2.0506096654409878,5.551115123125783e-17,2.050609665440988,4.440892098500626e-16
0.75,2.121320343559642,5.551115123125783e-17,2.121320343559643,8.881784197001252e-16
0.775,2.1920310216782966,5.551115123125783e-17,2.1920310216782974,8.881784197001252e-16
0.8,2.262741699796951,5.551115123125783e-17,2.2627416997969525,1.3322676295501878e-15
0.8250000000000001,2.3334523779156062,5.551115123125783e-17,2.333452377915607,8.881784197001252e-16
0.8500000000000001,2.404163056034261,0.0,2.404163056034262,1.3322676295501878e-15
0.875,2.4748737341529154,0.0,2.4748737341529163,8.881784197001252e-16
0.9,2.5455844122715705,5.551115123125783e-17,2.5455844122715714,8.881784197001252e-16
0.925,2.616295090390225,0.0,2.616295090390226,8.881784197001252e-16
0.9500000000000001,2.6870057685088797,0.0,2.687005768508881,1.3322676295501878e-15
0.9750000000000001,2.757716446627535,0.0,2.7577164466275357,8.881784197001252e-16
1.0,2.8284271247461894,0.0,2.8284271247461903,8.881784197001252e-16
