seed,tau,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
42000,0,7.495903259503301e-07,2.94469348289864e-05,0.0,0.0015096178093440599,0.0021526068321923468,0.0,0.00033802700142390003,1.758977406463053e-05,0.0003204372273592695,0.032106302497577004,1.4261342779432102e-05,0.03209204115479757,-0.0003204372273592695,-0.03209204115479757,0.0
42001,1,0.006182919159026788,4.448098591914898e-05,0.006138438173107639,0.009222957307587454,0.002095297706806042,0.007127659600781412,0.508930845507909,0.0001255079968514243,0.5088053375110576,0.4386584821848225,0.00011347055041201615,0.4385450116344105,-0.5016776779102762,-0.4314173520336291,0.0
42002,2,0.9469746276799678,0.0017700121563273277,0.9452046155236404,1.2927113149359803,0.002206404302803036,1.2905049106331774,2.0110661934239356,0.0007821147028435035,2.0102840787210923,2.021379169547305,0.0013682069049370416,2.020010962642368,-0.7197791680879149,-0.7295060520091907,0.0
42003,3,0.4057489904544433,0.0026991490585232788,0.40304984139592004,0.4930752298136585,0.0020954354421977017,0.4909797943714608,1.603288915029388,0.0034672663097460644,1.599821648719642,1.6171014261309389,0.0016555853417728214,1.615445840789166,-1.108841854348181,-1.1244660464177052,0.0
42004,4,0.9113533288701539,0.002763513876686753,0.9085898149934671,1.2575488149126959,0.00215003169462149,1.2553987832180744,1.3882710034363372,0.00560160585528726,1.38266939758105,1.398327787406711,0.0015262606128005108,1.3968015267939105,-0.1272706143629756,-0.14140274357583604,0.0
42005,5,0.26751907469611513,0.002176426474141709,0.2653426482219734,0.33023466410193714,0.0020715415409885184,0.3281631225609486,1.2519786610032404,0.0029218122504693954,1.249056848752771,1.2597971567291484,0.001815005575721868,1.2579821511534266,-0.9208937261918223,-0.929819028592478,0.0
42006,6,0.02769533014367022,0.002318868840800984,0.025376461302869236,0.031484962569514,0.0021035393852531525,0.029381423184260843,1.1567902080818369,0.005703320601248406,1.1510868874805884,1.163464027486662,0.06347290101769315,1.0999911264689688,-1.1217054642963276,-1.070609703284708,0.0
42007,7,0.4789739157979715,0.003484253908602684,0.4754896618893688,0.5746508711133287,0.0021238955629140402,0.5725269755504147,1.0822082120782375,0.0016964440648278424,1.0805117680134095,1.0877235808530628,0.0019462764013999392,1.0857773044516628,-0.5079847924629949,-0.5132503289012481,0.0
42008,8,1.2427375798835594,0.001937345214827914,1.2408002346687315,2.008117233108798,0.002239535852667263,2.0058776972561305,1.015577932221009,0.0037151366924517305,1.0118627955285573,1.020195748617339,0.002196050621600597,1.0179996979957384,0.9940149017275732,0.9878779992603921,0.0
42009,9,1.3108636969539493,0.0027404514682997723,1.3081232454856495,2.1840620139483953,0.0022158734323397627,2.1818461405160554,0.9535379535554066,0.0022299012545916566,0.9513080523008149,0.9570763486102168,0.003217914558974467,0.9538584340512424,1.2305380882152406,1.227987706464813,0.0
42010,10,0.7009886063337304,0.0018371329947199188,0.6991514733390105,0.9900259418496797,0.002118677745822771,0.987907264103857,0.9030298019692456,0.0011487777081363923,0.9018810242611093,0.9062668754713561,0.002079575128867151,0.904187300342489,0.08602623984274771,0.08371996376136803,0.0
42011,11,0.3610455595426369,0.0032686969052445024,0.3577768626373924,0.5256597690475188,0.0022320725801846706,0.5234276964673341,0.8489206358634679,0.0029482881944456903,0.8459723476690222,0.8519713703612559,0.0018795387851803548,0.8500918315760756,-0.32254465120168807,-0.3266641351087415,0.0
42012,12,0.18694707616144093,0.001720614307617102,0.18522646185382383,0.2702699728147445,0.0020450907002516404,0.26822488211449286,0.7988379383046977,0.001571144287781752,0.797266794016916,0.8014204042433212,0.0014282423176038652,0.7999921619257173,-0.5290419119024232,-0.5317672798112245,0.0
42013,13,0.07666746789451992,0.001985662831071797,0.07468180506344813,0.13015855974909776,0.0020342043664359137,0.12812435538266184,0.7409743077402084,0.0036978253203056514,0.7372764824199028,0.7427455190067999,0.0037141543204605425,0.7390313646863393,-0.609152127037241,-0.6109070093036775,0.0
42014,14,0.02633661647502979,0.0024303012526496227,0.023906315222380167,0.06948616951286382,0.002129513609397826,0.067356655903466,0.6904397831029129,0.0016236413067482799,0.6888161417961646,0.6923218011898045,0.002685242386885492,0.689636558802919,-0.6214594858926986,-0.622279902899453,0.0
42015,15,0.0018080354828287194,0.004396823710634074,0.0,0.04776026504919994,0.002229189259071613,0.04553107579012833,0.6460920714310833,0.00296132445778522,0.6431307469732981,0.6475689207245331,0.0019320377034771222,0.6456368830210559,-0.5975996711831697,-0.6001058072309275,0.0
42016,16,0.0033852167807214835,0.003938336622139155,0.0,0.04256493887138829,0.0022084077573190546,0.040356531114069234,0.5954351805611316,0.002834314957849838,0.5926008656032818,0.5970183130189912,0.0018430409941373185,0.5951752720248539,-0.5522443344892126,-0.5548187409107846,0.0
42017,17,0.01923317006541576,0.0026688890053964257,0.016564281060019333,0.06813215683983453,0.0020286198213789633,0.06610353701845557,0.5438770150808199,0.003319393033496986,0.5405576220473229,0.5450917918084847,0.003070128841166344,0.5420216629673184,-0.4744540850288674,-0.4759181259488628,0.0
42018,18,0.05176123843688376,0.0034555811772187866,0.04830565725966497,0.08000510762986004,0.002170412066794919,0.07783469556306513,0.49545380641172604,0.0027527904833911892,0.4927010159283349,0.49622016767157856,0.0011657285900988372,0.4950544390814797,-0.4148663203652697,-0.4172197435184146,0.0
42019,19,0.09820218459190792,0.013610327980514413,0.08459185661139351,0.1293355780418783,0.0020649240910265558,0.12727065395085177,0.4601004272752928,0.0019156875624720248,0.4581847397128208,0.4607026902504239,0.0038986598299568997,0.45680403042046697,-0.330914085761969,-0.3295333764696152,0.0
42020,20,0.139495161348858,0.002198480103250652,0.13729668124560734,0.16780412191821742,0.002139896508530106,0.1656642254096873,0.4070250086663833,0.0017184944933485858,0.4053065141730347,0.4075683920769293,0.005162322853622399,0.4024060692233069,-0.2396422887633474,-0.2367418438136196,0.0
42021,21,0.1896032103791522,0.00262004409527401,0.1869831662838782,0.22445968158126903,0.0021952435145086865,0.22226443806676033,0.36074063874213835,0.0032152049961902164,0.35752543374594814,0.36111093362636393,0.0018545675821385816,0.35925636604422534,-0.1352609956791878,-0.136991927977465,0.0
42022,22,0.25691815300001486,0.0038031181569861787,0.25311503484302866,0.2938607985051918,0.0020722299744658354,0.291788568530726,0.32804917892086355,0.001733907914789411,0.32631527100607416,0.32853773285116855,0.002481898366098207,0.32605583448507036,-0.03452670247534817,-0.03426726595434437,0.0
42023,23,0.3078921924818533,0.5406234417015511,0.0,0.32405692624499854,0.002168581464754668,0.32188834478024386,0.2721747960158502,0.0022152501880152715,0.26995954582783493,0.27264557045162724,0.0014786082249775051,0.2711669622266497,0.05192879895240893,0.05072138255359415,0.0
42024,24,0.38660549820188794,0.0016530312838448121,0.38495246691804313,0.3814533251564233,0.002141196794250105,0.37931212836217315,0.23992983574652707,0.003969570115769634,0.23596026563075745,0.2401515434300629,0.0027085606191313977,0.2374429828109315,0.1433518627314157,0.14186914555124164,0.0
42025,25,0.44530157972376233,0.0036357489411412564,0.44166583078262106,0.4670672237449832,0.00217007773816235,0.46489714600682086,0.19414712648326748,0.002079739381771572,0.1920673871014959,0.19437502861297884,0.0015642032045744352,0.1928108254084044,0.27282975890532496,0.2720863205984164,0.0
42026,26,0.5271437302333825,0.004174137144960254,0.5229695930884222,0.5453220702192226,0.0022681129758827137,0.5430539572433399,0.15591162970292807,0.00256351867377969,0.1533481110291484,0.15604318742424164,0.0018904879743055852,0.15415269944993606,0.3897058462141916,0.3889012577934039,0.0
42027,27,0.6027761681753763,0.0021132742492161174,0.6006628939261601,0.5974153067687807,0.0021484977696360377,0.5952668089991447,0.1283386837224187,0.0027440825327777617,0.12559460118964091,0.12835516652397008,0.0026394093834717436,0.12571575714049835,0.4696722078095038,0.46955105185864643,0.0
42028,28,0.6735747285280588,0.15312597255100854,0.5204487559770502,0.6869807605467788,0.0021807247947985635,0.6848000357519802,0.08011987257079062,0.003962387796845367,0.07615748477394525,0.08000272673099175,0.061040272370379484,0.018962454360612266,0.608642550978035,0.665837581391368,0.0
42029,29,0.7926566230317155,0.0028091400852102086,0.7898474829465053,0.7964563906483544,0.0021058668592968195,0.7943505237890576,0.05904704996884128,0.0014859595293243736,0.05756109043951691,0.0590033082715386,0.0022984727055183458,0.056704835566020254,0.7367894333495406,0.7376456882230373,0.0
42030,30,0.871351327662507,0.00566747531809276,0.8656838523444143,0.9198062298028025,0.0020882283518594237,0.9177180014509431,0.034732266749703256,0.0010672035099696863,0.03366506323973357,0.03464055703342051,0.00364437360816519,0.03099618342525532,0.8840529382112094,0.8867218180256877,0.0
42031,31,0.9842521010399076,0.0020565666207084466,0.9821955344191992,1.0172104606104893,0.0023766829857133323,1.014833777624776,0.008359590531035726,0.0037166194110094357,0.00464297112002629,0.008324981432711523,0.00235304846217634,0.005971932970535183,1.0101908065047498,1.0088618446542408,0.0
42032,32,1.1387708545753357,0.0030946407551445446,1.135676213820191,1.1082229461785191,0.002150837380649147,1.10607210879787,0.0011576188109425445,0.0012262635279965692,0.0,0.001144023619349173,0.012455188392568973,0.0,1.10607210879787,1.10607210879787,0.0
