model,mc_horizon_s,mc_horizon_h,analytic_horizon_s,analytic_horizon_h,mi_floor_analytic
linear,71868.02347096414,19.963339853045593,71635.80728604906,19.89883535723585,0.004793021229843817
quadratic,63383.26507503128,17.606462520842022,63252.936090562485,17.570260025156244,0.0024004923330764294
saturating,,,,,0.014380518007847069
