P,alpha,epsilon,tau_h_theory,tau_h_mc,error_relative,status,tau_max_used,mi_start,mi_end,mi_end_ci_lo,mi_end_ci_hi
0.1,0.0001,0.001,720846.6359689824,nan,nan,OUT_OF_RANGE,250000.0,4.9839543514960996,0.003166267106819814,0.0028693513012568997,0.003463182912382728
0.1,0.00031622776601683794,0.001,227951.7213332241,nan,nan,NO_CROSS,250000.0,4.9839543514960996,0.0010733002561868904,0.0009071196297206458,0.0012394808826531349
0.1,0.001,0.001,72084.66359689823,85354.82418902408,0.18409131609926602,COVERED,108126.99539534735,4.9839543514960996,0.000804877690587974,0.00066292472994044,0.0009468306512355081
0.1,0.0031622776601683794,0.001,22795.172133322412,26991.39508453189,0.18408384576641826,COVERED,34192.75819998362,4.9839543514960996,0.0008048776905878796,0.0006629247299403453,0.0009468306512354139
0.1,0.01,0.001,7208.466359689824,8535.436821226034,0.18408499052679347,COVERED,10812.699539534735,4.9839543514960996,0.000804877690587974,0.00066292472994044,0.0009468306512355081
0.1,0.0001,0.0031622776601683794,227609.48023246502,nan,nan,NO_CROSS,250000.0,4.9839543514960996,0.003166267106819814,0.0028693513012568997,0.003463182912382728
0.1,0.00031622776601683794,0.0031622776601683794,71976.43745816605,79162.16894027122,0.09983449773103373,COVERED,107964.65618724909,4.9839543514960996,0.0023551778683136362,0.0021014650517278046,0.002608890684899468
0.1,0.001,0.0031622776601683794,22760.948023246503,25033.27991280451,0.09983467679980647,COVERED,34141.422034869756,4.9839543514960996,0.0023551778683136362,0.0021014650517278046,0.002608890684899468
0.1,0.0031622776601683794,0.0031622776601683794,7197.643745816605,7916.176338969298,0.09982886324018422,COVERED,10796.465618724907,4.9839543514960996,0.0023551778683136362,0.0021014650517278046,0.002608890684899468
0.1,0.01,0.0031622776601683794,2276.09480232465,2503.3198874365253,0.09983111638399365,COVERED,3414.142203486975,4.9839543514960996,0.0023551778683136362,0.0021014650517278046,0.002608890684899468
0.1,0.0001,0.01,71634.90728604909,75573.97968994624,0.05498816921990054,COVERED,107452.36092907362,4.9839543514960996,0.007117631026964849,0.006662871668491261,0.007572390385438436
