tau,seed,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
0,51500.0,5.2574454812561444e-06,2.6911665946956875e-05,6.169427342974166e-07,0.0017980812488174642,0.0021253361435354464,1.1676739133592335e-05,0.0003041705748717713,2.1825764737249216e-05,0.0002823448101345221,0.033279907266025074,2.434774425213059e-05,0.03325555952177295,-0.00027066807100092975,-0.03324388278263936,0.0
1,51501.0,0.005930103735523961,7.916318298632947e-05,0.005850940552537631,0.008954905055593073,0.002133950124145572,0.006820954931447501,0.5139264111917542,0.00293614801594183,0.5109902631758123,0.4442911635360608,7.787390565382012e-05,0.4442132896304069,-0.5041693082443648,-0.4373923346989594,0.0
2,51502.0,0.9483580734701983,0.007045761638355434,0.9413123118318427,1.2886343315467284,0.0021553358699406768,1.2864789956767877,2.015414431734194,0.002263901041950595,2.0131505306922435,2.025280150188997,0.002166149788939745,2.0231140004000574,-0.7266715350154558,-0.7366350047232697,0.0
3,51503.0,0.4049235257739327,0.02952515832481136,0.37539836744912136,0.4841579480798098,0.0021441449777724283,0.4820138031020374,1.6011498611613884,0.007025409837355489,1.594124451324033,1.6148903091557423,0.005503545530309983,1.6093867636254324,-1.1121106482219956,-1.127372960523395,0.0
4,51504.0,0.9216362977971068,0.017778342220351753,0.9038579555767552,1.2592519603794021,0.002133046955671591,1.2571189134237306,1.38573581263005,0.007944906622645673,1.3777909060074043,1.396144764308155,0.007325829113096401,1.3888189351950586,-0.12067199258367367,-0.131700021771328,0.0
5,51505.0,0.2677677197241736,0.030348726423856675,0.2514527057014984,0.32602857151649955,0.002149686439056992,0.3238788850774426,1.2525621719428786,0.004474773415216001,1.2480873985276628,1.260693528240356,0.008101994190352993,1.2525915340500031,-0.9242085134502203,-0.9287126489725606,0.0
6,51506.0,0.027638849739055033,0.014274056099159837,0.022645962408805426,0.036615637645951105,0.002138617373168903,0.0344770202727822,1.1577361484934843,0.011055927708404497,1.1466802207850797,1.1640698650688452,0.005713325419745298,1.1583565396491,-1.1122032005122975,-1.1238795193763178,0.0
7,51507.0,0.47872801273400745,0.005836395939875241,0.4728916167941322,0.5730253712465884,0.0021583740680402807,0.570866997178548,1.0813628515749139,0.05044439368899423,1.0309184578859196,1.0866397072868665,0.006828467885889637,1.0798112394009771,-0.4600514607073716,-0.5089442422224291,0.0
8,51508.0,1.242569724573111,0.0072372722477345875,1.2353324523253764,2.0031200627947277,0.0021501572843784225,2.000969905510349,1.0152861230452859,0.0037251380752240408,1.0115609849700617,1.0197192357432359,0.002960572362558855,1.0167586633806769,0.9894089205402872,0.984211242129672,0.0
9,51509.0,1.3045795895047927,0.02720754667723967,1.277372042827553,2.1985311571507324,0.0021550694435748655,2.1963760877071574,0.9549142139312311,0.002585579131929246,0.9523286347993019,0.9587475400314514,0.04073329570379337,0.918014244327658,1.2440474529078556,1.2783618433794994,0.0
10,51510.0,0.6989264823901857,0.018009350659858966,0.6809171317303268,0.9911282893909876,0.002128292828574467,0.9889999965624131,0.9029772835636376,0.03953458555354181,0.8634426980100958,0.9062106578424695,0.007659173151157603,0.8985514846913117,0.12555729855231734,0.09044851187110137,0.0
11,51511.0,0.3653993535837917,0.0180917127550323,0.34730764082875937,0.5143868746751068,0.002155530089212967,0.5122313445858938,0.8494062866711853,0.004667295406245791,0.8447389912649397,0.8522451830441244,0.0027426528395172413,0.8495025302046073,-0.33250764667904587,-0.3372711856187135,0.0
12,51512.0,0.18841896147831128,0.02161461178734138,0.17625285892128226,0.2735378076552155,0.0021223751204651115,0.27141543253475037,0.7980033717955914,0.002657040222832513,0.7953463315727589,0.8004569785517566,0.0026315965486222214,0.7978253820031344,-0.5239308990380085,-0.526409949468384,0.0
13,51513.0,0.07793789004523183,0.01370098310293883,0.07151062225839015,0.1335505036854613,0.0021292870339071116,0.1314212166515542,0.7429830359509874,0.025551154012211315,0.7174318819387759,0.7450038245745605,0.004483718740368046,0.7405201058341924,-0.5860106652872217,-0.6090988891826381,0.0
14,51514.0,0.026086043058836595,0.0035129940529688014,0.022573049005867797,0.06880115580621976,0.0021623998166829697,0.0666387559895368,0.6911315285303472,0.015139850225943432,0.6759916783044038,0.692941300512466,0.002974514554325628,0.6899667859581404,-0.6093529223148669,-0.6233280299686036,0.0
15,51515.0,0.0019168545071970885,0.009142380977953704,0.0,0.04017833515596043,0.0021348974264448458,0.03804343772951558,0.6454245729860638,0.00286862934820715,0.6425559436378567,0.6470378479282877,0.014703335824033548,0.6323345121042541,-0.6045125059083412,-0.5942910743747385,0.0
16,51516.0,0.0031264060268599973,0.03091751186191134,0.00027641125825795057,0.03640174991943807,0.00213274859302033,0.03426900132641773,0.5961631222108462,0.003281581813466853,0.5928815403973794,0.5975266753009918,0.021745104086952474,0.5757815712140393,-0.5586125390709616,-0.5415125698876215,0.0
17,51517.0,0.019854316671456963,0.0324641716813597,0.015471249542418377,0.05898713846664342,0.0021233530513988393,0.05686378541524458,0.5441693038843363,0.009642360264570491,0.5345269436197658,0.5452883826636784,0.002347455266692096,0.5429409273969863,-0.47766315820452127,-0.48607714198174173,0.0
18,51518.0,0.05079868881357922,0.0030430367719870774,0.04775565204159214,0.08368558618064804,0.002162511152470858,0.08152307502817718,0.4963891857068575,0.013352107363514698,0.48303707834334286,0.49732762955155935,0.012589616314597601,0.48473801323696175,-0.4015140033151657,-0.40321493820878457,0.0
19,51519.0,0.09731119860752878,0.03992333597182093,0.08201821275212215,0.1271954139327248,0.002133730789361455,0.12506168314336336,0.4600249465241656,0.024119777997713032,0.4359051685264525,0.46082186228203154,0.01741753314005702,0.44340432914197453,-0.31084348538308915,-0.3183426459986112,0.0
20,51520.0,0.13991580253314337,0.02308001113367224,0.1296834368588528,0.1699747683697101,0.0021325945895562244,0.1678421737801539,0.40829753956419806,0.014974724457459343,0.3933228151067387,0.40893421134633146,0.004456325843806367,0.40447788550252506,-0.22548064132658482,-0.23663571172237116,0.0
21,51521.0,0.18914442996382194,0.042392434204211474,0.17749957070146144,0.21666495282766465,0.0021273815019989062,0.21453757132566573,0.3594399685824113,0.010528173109685622,0.34891179547272566,0.3599375097043601,0.024098156820118708,0.3358393528842414,-0.13437422414705993,-0.12130178155857566,0.0
22,51522.0,0.2569348767898059,0.009172062590118477,0.2477628141996874,0.28909014893179047,0.0021579007723117665,0.28693224815947876,0.32600027784161645,0.0022183012152015608,0.3237819766264149,0.326415361162542,0.002697819658608579,0.3237175415039334,-0.03684972846693613,-0.03678529334445463,0.0
23,51523.0,0.3053799740061191,0.04094835110451271,0.2760681853625913,0.3320408214752675,0.002143770245678742,0.3298970512295888,0.2709059105269501,0.0097838357064638,0.26112207482048627,0.27124156715907877,0.007866562055462007,0.26337500510361683,0.06877497640910252,0.06652204612597196,0.0
24,51524.0,0.3865164904947992,0.07359083776829754,0.3516018833751014,0.3849786975145824,0.0021448780361145938,0.38283381947846784,0.24032678245512637,0.030523846002034803,0.2229351464269625,0.24055769442651082,0.0031658150003158816,0.23739187942619494,0.15989867305150535,0.1454419400522729,0.0
