tau_s,tau_h,mi_mc_mean,mi_mc_ci95_low,mi_mc_ci95_high,mi_mc_trial_std,mi_analytic,abs_err_mean_vs_analytic
1.0,0.0002777777777777778,4.914706262485092,4.910975439769751,4.918437085200433,0.008512625717860732,4.914933426633089,0.000227164147997172
1007.7046979865772,0.27991797166293814,0.4972331533355593,0.4943764932409835,0.5000898134301351,0.006518047102124983,0.4972014282047241,3.172513083515849e-05
2014.4093959731545,0.5595581655480985,0.29080980510926036,0.2885397914610586,0.2930798187574621,0.005179494721664648,0.2907473458472753,6.245926198505947e-05
3021.1140939597317,0.8391983594332588,0.20632196341416226,0.20439757863909053,0.208246348189234,0.004390872624414302,0.20625136335344288,7.060006071937797e-05
4027.818791946309,1.118838553318419,0.16003587275532624,0.15834255288047083,0.16172919263018165,0.0038636513753348353,0.15996337566311622,7.24970922100221e-05
5034.523489932886,1.3984787472035796,0.13076210729496535,0.12923612315378508,0.13228809143614562,0.003481841094148725,0.13068993507023585,7.217222472949425e-05
6041.228187919463,1.6781189410887398,0.11056188537445606,0.10916380976213255,0.11195996098677957,0.003189991945755128,0.11049091253144788,7.097284300817963e-05
7047.932885906041,1.9577591349739,0.0957772043488545,0.0944807620587108,0.09707364663899821,0.002958094989455957,0.09570777222853331,6.943212032119173e-05
8054.637583892618,2.2373993288590603,0.08448540409971286,0.08327210149362592,0.08569870670579981,0.0027683950045796547,0.08441762146263648,6.77826370763801e-05
9061.342281879195,2.517039522744221,0.07557839306315108,0.07443465831732192,0.07672212780898023,0.002609661877451453,0.075512261800819,6.613126233206978e-05
10068.046979865772,2.7966797166293813,0.06837228991905,0.06728782953482365,0.06945675030327636,0.002474415446975169,0.0683077622788512,6.452764019880541e-05
11074.75167785235,3.0763199105145413,0.06242203902909804,0.061388835124508684,0.0634552429336874,0.0023574634339592025,0.06235904520533641,6.29938237616326e-05
12081.456375838927,3.355960104399702,0.057425476712673784,0.05643714509715484,0.05841380832819273,0.002255078241441367,0.05736393863533551,6.153807733827454e-05
