,tau_0,tau_2542,tau_5084,tau_7627,tau_10169,tau_12711,tau_15254,tau_17796,tau_20338,tau_22881,tau_25423,tau_27966,tau_30508,tau_33050,tau_35593,tau_38135,tau_40677,tau_43220,tau_45762,tau_48305,tau_50847,tau_53389,tau_55932,tau_58474,tau_61016,tau_63559,tau_66101,tau_68644,tau_71186,tau_73728,tau_76271,tau_78813,tau_81355,tau_83898,tau_86440,tau_88983,tau_91525,tau_94067,tau_96610,tau_99152,tau_101694,tau_104237,tau_106779,tau_109322,tau_111864,tau_114406,tau_116949,tau_119491,tau_122033,tau_124576,tau_127118,tau_129661,tau_132203,tau_134745,tau_137288,tau_139830,tau_142372,tau_144915,tau_147457,tau_150000
bits_1,0.00042586688513118764,0.0010552491055332589,0.0004361106189963463,0.0007845044308597095,0.0006921424676251388,0.0005679085337760648,0.0005484027911375067,0.00034271735239743375,0.00036915051599235415,0.0003251033601136118,0.0003885782842304304,0.00017983801058491034,0.0003552748285095318,0.00010940243123459482,0.00017427565047947169,0.0002778341299284947,0.0003161374868225746,0.0004120742142152231,0.00020239398552428955,0.00017488910407536853,0.00024295579870120028,0.0001237559801957838,0.00017946252444739266,0.00011284042873858384,0.00024914551557667514,0.00045087285213927337,0.0001651089205543593,0.00017570911074800673,0.00017407012610764404,0.0001984356344710504,0.00012297924404325701,0.00013152336122955344,0.0001930481332583166,0.00018426684184725024,0.0003562601817287841,0.00022437021586161807,0.000174181450664912,0.00014002852798114903,8.967706609026373e-05,0.0001842515717358054,0.00017505027296736556,7.66261048487337e-05,0.00011957246728294393,8.98251086220973e-05,0.00010429221642854766,4.434121673271782e-05,0.00024454039163101783,0.00011982382458458504,0.0001715797742597971,8.202474907382819e-05,0.00016614835982279786,9.404977414814342e-05,0.0001378609310709568,7.812146847249415e-05,0.00024839090003539774,0.0002689620549759205,0.00011263343243748753,8.489409564879496e-05,7.451348350986131e-05,0.00022666330031096947
bits_2,0.0008610231661121801,0.0032898716862248293,0.0037277759680194446,0.0027109772064390736,0.003196082948571519,0.0032313249114240593,0.0015301533936753484,0.002539097390380699,0.001410997293643436,0.001378382144402955,0.0010230193052211867,0.0011765671235936647,0.0018990918288761464,0.0008937260531751795,0.0010096423152649813,0.0012186100873531423,0.0013788740383118424,0.0011679472898762455,0.00044411530756466696,0.001038866166657696,0.0016081592237682887,0.001197921653353835,0.0009951550259517177,0.0012754828192717677,0.0010738026964586,0.0006443758689034858,0.001216257152074572,0.0011511316644392945,0.00037592830948001484,0.0006742231598559867,0.0006975618608141127,0.00017699635119210958,0.0008916470372848526,0.0006256376511610083,0.00026402924624918076,0.0006942372488400064,0.0006424182696720934,0.000955977788187142,0.00040646859729690865,0.00016347188754765413,0.0004133376863619666,0.00046770665472810146,0.0007528778446118445,0.00039958103233429505,0.0005846817613862713,0.0008096834170428541,0.0010335989920142153,0.0007877270533840273,0.0006977171689952688,0.0003690170360767198,0.0011069581153722282,0.0007921633050749248,0.0006971035648297727,0.0012405272753419636,0.00029675432002258687,0.0004562188001530313,0.0007357527127988304,0.0003996609237188199,0.00042718339560475526,0.0011349684407700878
bits_3,0.0004591924135041786,0.004026586232345335,0.003126916076156309,0.002856591522837702,0.0031368584690079524,0.002894482421606024,0.002911176809580011,0.0009038845885995615,0.0019813250601404073,0.002364564218371534,0.0018852045267863382,0.0016280670997021037,0.0017318533179942037,0.0016397351983211267,0.0016470217715170567,0.0019612531034074268,0.0011525703616169054,0.0005902722838110424,0.0013483441037766995,0.001131127027430301,0.0015490842123852418,0.0015902113833710652,0.00219921986202379,0.0009743494478626325,0.0005898637295126219,0.001539251896894578,0.0010531672420973134,0.0007375336237589641,0.00100111672313048,0.0011761398454022212,0.001715485396014626,0.0006242715649251204,0.0009335431140452504,0.0008344971621700811,0.001158099904476729,0.0008539627618449525,0.0009505979105332137,0.0004770236870708292,0.0006744174173502024,0.0004063525025678023,0.0009600804610875429,0.0010342151007696923,0.0010528085088206906,0.0013236434479869817,0.0008501701364100134,0.0010494135711059658,0.0008210607113172335,0.0011406489674765951,0.0005133387508611394,0.001099909448924714,0.0008661133728322107,0.0008756273476810164,0.0005421053335759403,0.0011985619732936296,0.0006310476342063798,0.0008357493434419733,0.001414883443570994,0.00041748709710228186,0.0004693855008173869,0.0005055971742967787
bits_4,0.0002312029222923303,0.00574973329963479,0.005338384646160105,0.0017831000902847089,0.001787561280153742,0.002454290138120232,0.0011793209632202954,0.001315925703217262,0.0012659735861645504,0.0032076591429991705,0.002299263872055804,0.0011366603860289573,0.0015097059517132424,0.0017800760581034984,0.0020744459279992433,0.0020238320397789116,0.000767778644317678,0.0017350815776610961,0.0010728682178867378,0.001166219085408975,0.0008648645231443563,0.0029496855926894414,0.0017231716772634067,0.0010663810841204891,0.001314390104125767,0.0018258694065028736,0.0008567799631170506,0.0011432628446792514,0.0008205374020624292,0.0008938962818621925,0.0010422882957784082,0.0011803610383859218,0.0004864954657183803,0.0011119417390747972,0.0012432805764545105,0.000953302543134003,0.001384000446939073,0.0007963899225359029,0.0003307925797027648,0.0014234711988126139,0.0009410430432347693,0.0008613096107427593,0.0012404850796828566,0.0007297882347812095,0.0008683553577879595,0.0005004705220244303,0.0011670256390544046,0.0011056805102343638,0.0007926131475270875,0.0009169301015113328,0.0008353059973943991,0.0005257646788551435,0.0009522773596011978,0.0009832350774695408,0.0009005691752534239,0.0008457864224002149,0.0005273434132415895,0.0007488410216526352,0.00035282886947750705,0.0008734872315612392
bits_6,0.0005404447375881397,0.00722394415671265,0.0021783833071482637,0.0034931347251749355,0.004729986679776761,0.003404767069349059,0.0024177152539991286,0.0020666267491159882,0.0034973261235353714,0.0011556570681977363,0.0017998014436131577,0.0018221165854036415,0.0024262960277271414,0.001982554965797507,0.001694823211721058,0.001091494685977019,0.0008778882337812554,0.0019277593502567368,0.0009894633343986634,0.0015084398507567074,0.0012055159522322595,0.0021323449482771794,0.002082900283648296,0.0010782668815974305,0.0010320612179835543,0.001349378571852928,0.0008733021344363706,0.001006680942488832,0.0015677282607898116,0.0008480113773924803,0.0011023078439284448,0.0013156386300916592,0.001000179891121575,0.0013939686090752052,0.0012083990770598901,0.0003318674869644205,0.0008352978216247832,0.0008979873140903598,0.0011450627695283498,0.0010879041653848026,0.0006642756616389938,0.0010807485405943682,0.0005918061217357504,0.0007165773267527908,0.0005664339023245824,0.0006714198523996865,0.0012130110665248405,0.0008069013992407027,0.0002847104660711186,0.0007808542598683888,0.0006288907559900137,0.0010282859108411897,0.0014737353051403116,0.00033435396510745377,0.0008048528592493697,0.00079585411451123,0.000617456150478994,0.0009185214417973807,0.000732746083443533,0.0006546747468280418
bits_8,0.007706416262408704,0.004684376764615639,0.004284967384408752,0.002158004661065503,0.0024964285247164,0.0026854685963204534,0.002077033657844357,0.0014560610782817201,0.002851485671335494,0.0011778286854256213,0.0017251625488573419,0.0017365167131807814,0.001667877369966968,0.0008284052114633694,0.0008363212340161889,0.0018730272151543349,0.0014887537730109957,0.002124726354499304,0.002603002246371161,0.0014025348011764034,0.001085010196737674,0.0021063546023437955,0.0012304592423648094,0.0010047524707970604,0.0017371360287208987,0.001019898308577901,0.0014015039361118984,0.0020936367805190668,0.0006386068009063152,0.0011064682374375722,0.00032555037512403017,0.0007686922345760581,0.0010517265241557193,0.0012682391849880281,0.0004968323246230511,0.0006547200205866556,0.0019094723395517749,0.0006588384777171492,0.0015786365047895056,0.0009690334011058368,0.0007997761952660308,0.0008062090038399104,0.0014677477245628612,0.0007037693421463151,0.00028300774560271243,0.001645885180587179,0.0008522027270822396,0.00044887182755902873,0.0009356744854635801,0.0012100180896627436,0.0006091666570565516,0.0010135310831289929,0.00150952236009157,0.0009587776422454176,0.000492547421935937,0.0005266762217642426,0.0012115435370258284,0.0010088924169485997,0.00012401468260663607,0.0009215242066092342
bits_12,0.002552283957664208,0.007919658230803556,0.0042431330401135,0.005224550750350284,0.0017512752483368023,0.001790074790265217,0.0014286804644978075,0.002111735247050809,0.002610837997212284,0.0017555894287201268,0.0019794159465209606,0.0021250111857163364,0.0012341257017709974,0.0011224048944429251,0.0008219055263078814,0.001711131240823184,0.0006279163147511651,0.0014579919094093933,0.001256187038202197,0.001880467947562893,0.0005604763738362362,0.0007855278983477022,0.001957985356591839,0.001828149970711845,0.0007117997662747173,0.0007894937484780326,0.001021848424057677,0.001000019797219245,0.00069353829364206,0.0018909578788556189,0.000857649668385765,0.001001381657573757,0.0008085208749504473,0.0008640989916033395,0.0013945734593128552,0.0006989190184204764,0.0010153952138825817,0.0009420931795117962,0.0011578855279728267,0.0006602847737204552,0.0007845937420982974,0.0008660588307173067,0.0005279525578130433,0.0009821389589151337,0.0013284260289696949,0.0010663247674091321,0.0003618281566032375,0.0004099520307750134,0.001147536827266461,0.0010093781998867137,0.0009719686414826522,0.0006153025120214074,0.0005738401356575445,0.001045514335321517,0.0009288356032446771,0.0005908505812956825,0.0011447598873581559,0.0005449934022025266,0.0007269816202109558,0.00047394267555412586
bits_16,0.006526736559375405,0.004377636166285264,0.006363193139765885,0.0036107426604290267,0.0033758842042336977,0.0020525125085229644,0.002325768551887922,0.0018785378530941656,0.0010570915426175544,0.0025689049240314823,0.0014259303124496204,0.0025580229286672265,0.000875407357910642,0.0016693107154938562,0.0012990264971893572,0.0015133584221753722,0.0012334629172950247,0.0010533468575254794,0.0012611576483412149,0.0016387837726846704,0.0017414206054909736,0.001540116538324377,0.0015627600429736642,0.000977033202342695,0.0010630611655041255,0.0008901451671946834,0.0008088781985664201,0.0013190060850936615,0.00060690717787192,0.0009992096949318315,0.0006261799279599966,0.0013733602128529465,0.0009323885629897484,0.0008659251540910013,0.0013762722563449635,0.0002586564564924884,0.0015527894470180928,0.0008209561976599652,0.0012335227762056984,0.0015576182790265844,0.0005223198626958095,0.0008251238857732817,0.0006162001831716324,0.0009941049432730057,0.0006285331279416176,0.0009021760401137472,0.0009005807175351305,0.0012244569712016866,0.0005645059216768662,0.0014384747405730709,0.00043998103308522346,0.0005072116582311281,0.0004926113550986228,0.0015699591312170263,0.0008668946643494238,0.0005461302375046334,0.000925535621571481,0.0007612883794349154,0.000668597970531235,0.0006898079620723925
bits_32,0.010481960946947883,0.005576024788982033,0.003964682256192524,0.0016538823562720544,0.002641182791954883,0.0011232478265607202,0.003589034150308163,0.0027780084880212556,0.0026914554760875437,0.0017045536087702223,0.0018201618789702321,0.001950002104942749,0.0016984026182779016,0.0012485457307051164,0.001647555432321865,0.0005740955889326494,0.0013514977372171427,0.0008905058523987319,0.0008183368543954521,0.001828490798369363,0.0005173204196817525,0.0010986921502092748,0.0013637859253683336,0.0011521058718615487,0.0012209050811898777,0.0007705214048855459,0.0011811109960974833,0.002531784780730127,0.0011446993990132375,0.0013073437483136843,0.0010053630097301837,0.0007174958379913705,0.001224379025317035,0.0014431826141376913,0.0010423752076323628,0.000900932087725801,0.0006577092755583778,0.001664076580016424,0.0005935740035141702,0.0008224222298130625,0.0019955001239539056,0.0009071764255266479,0.0011072776961763523,0.0005529774886303933,0.0007252974620011918,0.0009189272345140503,0.0011660701711750177,0.001176489772428907,0.0005992872331945137,0.0015195361258484373,0.000927810884088276,0.0009460760186035585,0.00035534532944418105,0.0010213899757152175,0.0008313434443250801,0.00044868789371995646,0.0007102005725058814,0.0011570886031344598,0.0006525056357939417,0.0009254263316417508
