tau_s,tau_h,mi_mc_mean,mi_mc_ci95_low,mi_mc_ci95_high,mi_mc_trial_std,mi_analytic,abs_err_mean_vs_analytic
1.0,0.0002777777777777778,5.351565726494913,5.347844217215573,5.355287235774253,0.008491375232142712,5.351795602986435,0.00022987649152206302
1007.7046979865772,0.27991797166293814,0.7791485154046768,0.7758255072468563,0.7824715235624973,0.007582114419053954,0.7791632668504476,1.4751445770788685e-05
2014.4093959731545,0.5595581655480985,0.48336177329839414,0.48053628188341596,0.4861872647133723,0.006446929462993125,0.48332777440687635,3.399889151778357e-05
3021.1140939597317,0.8391983594332588,0.34994045938189566,0.34747152130748954,0.3524093974563018,0.005633380986336222,0.34988580660912594,5.4652772769725466e-05
4027.818791946309,1.118838553318419,0.272805408866018,0.2706023137873016,0.2750085039447344,0.0050268064866379044,0.2727408544597993,6.455440621871977e-05
5034.523489932886,1.3984787472035796,0.22235166713118293,0.2203550082515223,0.22434832601084356,0.004555780594693613,0.2222822312059023,6.943592528063647e-05
6041.228187919463,1.6781189410887398,0.18674923587021522,0.1849181990235932,0.18858027271683725,0.004177880467707904,0.18667753796385092,7.169790636429862e-05
7047.932885906041,1.9577591349739,0.1602898336409298,0.15859514231731314,0.16198452496454646,0.0038667806127407776,0.16021733973633961,7.249390459018734e-05
8054.637583892618,2.2373993288590603,0.13986708001649387,0.13828696925096373,0.141447190782024,0.0036053419221475725,0.13979464813209103,7.243188440284043e-05
9061.342281879195,2.517039522744221,0.12364142732601428,0.12215923321677451,0.12512362143525407,0.0033819252899080538,0.12356957305919643,7.185426681785567e-05
10068.046979865772,2.7966797166293813,0.11045259286120619,0.1090552417436053,0.11184994397880708,0.0031883388646846045,0.11038162915683601,7.096370437018051e-05
11074.75167785235,3.0763199105145413,0.09953192861714383,0.09820895127494388,0.10085490595934378,0.00301864007127662,0.0994620438934463,6.988472369752474e-05
12081.456375838927,3.355960104399702,0.09034979439699767,0.08909266016580497,0.09160692862819036,0.002868405712029409,0.09028109834081013,6.869605618753383e-05
